folder_name,clip_name,frame_id,human_id,object_id,object_class,action,hmn_x1,hmn_y1,hmn_x2,hmn_y2,obj_x1,obj_y1,obj_x2,obj_y2
20200526,clip_14_0626,113,146067,146069,motorcycle,ride,346,220,378,283,345,243,376,287
20200526,clip_14_0626,114,146067,146069,motorcycle,ride,299,196,328,248,301,215,329,251
20200526,clip_14_0626,115,146067,146069,motorcycle,ride,267,177,286,220,266,196,285,226
20200526,clip_14_0626,116,146067,146069,motorcycle,ride,240,164,260,197,242,181,258,204
20200526,clip_14_0626,117,146067,146069,motorcycle,ride,224,152,241,184,225,170,240,190
20200526,clip_14_0626,118,146067,146069,motorcycle,ride,226,143,242,174,229,158,242,177
20200526,clip_14_0626,119,146067,146069,motorcycle,ride,228,135,242,164,231,149,241,167
20200526,clip_16_0722,19,144932,144943,bicycle,ride,119,101,127,115,120,108,126,116
20200526,clip_16_0722,20,144932,144943,bicycle,ride,122,103,129,118,123,110,129,119
20200526,clip_16_0722,21,144932,144943,bicycle,ride,126,105,134,120,127,111,134,121
20200526,clip_16_0722,22,144932,144943,bicycle,ride,128,107,137,125,129,115,137,127
20200526,clip_16_0722,23,144932,144943,bicycle,ride,133,109,141,128,133,117,141,130
20200526,clip_16_0722,24,144932,144943,bicycle,ride,137,112,146,131,138,120,146,133
20200526,clip_16_0722,25,144932,144943,bicycle,ride,136,114,144,133,136,122,145,136
20200526,clip_16_0722,26,144932,144943,bicycle,ride,131,119,140,140,132,129,139,143
20200526,clip_16_0722,27,144932,144943,bicycle,ride,128,123,137,146,130,132,136,146
20200526,clip_16_0722,28,144932,144943,bicycle,ride,127,127,136,152,127,141,136,155
20200526,clip_16_0722,29,144932,144943,bicycle,ride,128,132,137,158,130,147,139,161
20200526,clip_16_0722,30,144932,144943,bicycle,ride,134,138,145,168,134,151,146,169
20200526,clip_16_0722,31,144932,144943,bicycle,ride,149,147,163,178,152,161,164,180
20200526,clip_16_0722,32,144932,144943,bicycle,ride,171,154,177,186,171,173,178,191
20200526,clip_16_0722,33,144932,144943,bicycle,ride,193,164,208,204,195,182,208,207
20200526,clip_16_0722,34,144932,144943,bicycle,ride,219,176,237,223,222,201,237,229
20200526,clip_16_0722,35,144932,144943,bicycle,ride,247,194,269,248,249,213,273,254
20200526,clip_16_0722,36,144932,144943,bicycle,ride,285,216,312,285,287,239,315,285
20200526,clip_16_0722,25,144944,144935,vehicle,ride,107,97,113,108,107,103,114,112
20200526,clip_16_0722,26,144944,144935,vehicle,ride,115,99,120,110,116,106,120,113
20200526,clip_16_0722,27,144944,144935,vehicle,ride,118,102,126,116,119,107,125,119
20200526,clip_16_0722,28,144944,144935,vehicle,ride,126,105,134,120,126,112,134,125
20200526,clip_16_0722,29,144944,144935,vehicle,ride,132,108,140,124,132,117,139,129
20200526,clip_16_0722,30,144944,144935,vehicle,ride,141,112,149,129,140,122,149,134
20200526,clip_16_0722,31,144944,144935,vehicle,ride,149,117,159,135,150,126,159,139
20200526,clip_16_0722,32,144944,144935,vehicle,ride,161,122,171,144,161,132,170,148
20200526,clip_16_0722,33,144944,144935,vehicle,ride,171,129,176,148,169,140,176,151
20200526,clip_16_0722,36,144944,144935,vehicle,ride,210,167,225,208,212,189,225,212
20200526,clip_16_0722,37,144944,144935,vehicle,ride,252,192,271,235,254,215,271,246
20200526,clip_16_0722,38,144944,144935,vehicle,ride,321,228,349,288,321,257,352,288
20200526,clip_18_0818,39,144978,144982,bicycle,ride,335,161,350,198,332,179,352,200
20200526,clip_18_0818,40,144978,144982,bicycle,ride,293,147,310,186,289,165,312,189
20200526,clip_18_0818,41,144978,144982,bicycle,ride,263,136,283,175,258,151,284,174
20200526,clip_18_0818,42,144978,144982,bicycle,ride,244,126,259,159,241,138,262,161
20200526,clip_18_0818,43,144978,144982,bicycle,ride,219,124,234,151,216,132,234,152
20200526,clip_18_0818,44,144978,144982,bicycle,ride,205,122,216,146,203,130,217,148
20200526,clip_18_0818,45,144978,144982,bicycle,ride,192,114,201,138,191,125,201,141
20200526,clip_18_0818,47,144978,144982,bicycle,ride,167,109,175,125,166,115,176,128
20200526,clip_18_0818,48,144978,144982,bicycle,ride,156,109,163,126,154,116,164,128
20200526,clip_18_0818,49,144978,144982,bicycle,ride,148,108,155,124,146,115,155,127
20200526,clip_18_0818,50,144978,144982,bicycle,ride,143,105,150,121,141,112,151,124
20200526,clip_18_0818,51,144978,144982,bicycle,ride,135,100,142,116,135,107,143,119
20200526,clip_18_0818,52,144978,144982,bicycle,ride,128,98,135,114,128,104,137,116
20200526,clip_18_0818,53,144978,144982,bicycle,ride,126,97,133,113,126,104,134,114
