,folder_name,clip_name,frame_id,human_id,object_id,object_class,action,hmn_x1,hmn_y1,hmn_x2,hmn_y2,obj_x1,obj_y1,obj_x2,obj_y2
0,20200514,clip_10_1744,94,26,29,bicycle,ride,359,175,381,228,370,201,384,234
1,20200514,clip_10_1744,95,26,29,bicycle,ride,321,165,339,199,329,185,343,207
2,20200514,clip_10_1744,96,26,29,bicycle,ride,289,158,305,185,292,173,310,193
3,20200514,clip_10_1744,97,26,29,bicycle,ride,271,145,282,175,272,162,284,184
4,20200514,clip_10_1744,98,26,29,bicycle,ride,267,136,278,166,269,155,279,177
5,20200514,clip_10_1744,99,26,29,bicycle,ride,262,129,273,148,265,141,272,163
6,20200514,clip_10_1744,100,26,29,bicycle,ride,254,124,264,142,257,135,265,154
7,20200514,clip_10_1744,101,26,29,bicycle,ride,238,121,250,139,241,130,249,143
8,20200514,clip_10_1744,102,26,29,bicycle,ride,224,117,234,133,228,126,236,140
9,20200514,clip_10_1744,103,26,29,bicycle,ride,212,111,220,127,214,124,222,138
10,20200514,clip_10_1744,104,26,29,bicycle,ride,202,111,209,125,203,121,209,136
11,20200514,clip_10_1744,105,26,29,bicycle,ride,195,108,201,120,196,118,204,133
12,20200514,clip_10_1744,106,26,29,bicycle,ride,192,108,197,121,196,118,204,133
13,20200514,clip_10_1744,107,26,29,bicycle,ride,192,108,197,121,186,113,192,126
14,20200514,clip_10_1744,111,26,29,bicycle,ride,164,97,169,106,165,104,169,113
15,20200514,clip_10_1744,112,26,29,bicycle,ride,158,97,163,106,158,101,165,109
16,20200514,clip_10_1744,113,26,29,bicycle,ride,150,95,155,105,150,101,157,111
17,20200514,clip_10_1744,114,26,29,bicycle,ride,141,95,146,104,142,100,149,108
18,20200514,clip_10_1744,115,26,29,bicycle,ride,128,94,133,103,130,99,134,107
19,20200514,clip_10_1744,116,26,29,bicycle,ride,117,93,121,101,119,99,122,104
42,20200514,clip_10_1744,117,35,36,bicycle,ride,153,102,160,116,154,111,160,122
43,20200514,clip_10_1744,118,35,36,bicycle,ride,155,105,162,120,156,114,162,126
44,20200514,clip_10_1744,119,35,36,bicycle,ride,158,108,165,123,158,117,164,129
45,20200514,clip_12_1840,38,74,75,bicycle,walk,361,221,384,281,379,245,384,283
46,20200514,clip_12_1840,39,74,75,bicycle,walk,346,212,373,274,361,233,381,275
47,20200514,clip_12_1840,40,74,75,bicycle,walk,328,204,353,263,343,226,362,264
48,20200514,clip_12_1840,41,74,75,bicycle,walk,311,196,333,253,325,219,343,253
49,20200514,clip_12_1840,42,74,75,bicycle,walk,296,190,317,244,308,213,324,244
50,20200514,clip_12_1840,43,74,75,bicycle,walk,285,184,307,235,297,202,311,236
51,20200514,clip_12_1840,44,74,75,bicycle,walk,276,178,296,223,287,197,300,228
52,20200514,clip_12_1840,45,74,75,bicycle,walk,267,173,285,217,277,191,289,220
53,20200514,clip_12_1840,46,74,75,bicycle,walk,258,168,273,210,268,186,279,212
54,20200514,clip_12_1840,47,74,75,bicycle,walk,249,163,261,204,259,182,270,205
55,20200514,clip_12_1840,48,74,75,bicycle,walk,240,160,254,200,250,177,261,201
56,20200514,clip_12_1840,49,74,75,bicycle,walk,232,157,248,196,241,173,252,197
57,20200514,clip_12_1840,50,74,75,bicycle,walk,226,154,242,192,235,169,246,193
58,20200514,clip_12_1840,51,74,75,bicycle,walk,220,151,237,188,229,165,239,188
59,20200514,clip_12_1840,52,74,75,bicycle,walk,215,148,232,184,223,161,233,184
60,20200514,clip_12_1840,53,74,75,bicycle,walk,210,145,227,180,219,158,228,180
61,20200514,clip_12_1840,54,74,75,bicycle,walk,206,143,222,175,215,155,223,177
62,20200514,clip_12_1840,55,74,75,bicycle,walk,202,142,218,173,212,152,218,173
63,20200514,clip_12_1840,56,74,75,bicycle,walk,198,139,213,168,207,150,214,170
64,20200514,clip_12_1840,57,74,75,bicycle,walk,195,136,208,164,202,146,210,166
65,20200514,clip_12_1840,58,74,75,bicycle,walk,191,135,202,164,197,145,204,164
66,20200514,clip_12_1840,59,74,75,bicycle,walk,191,135,195,159,192,143,199,156
67,20200514,clip_12_1840,60,74,75,bicycle,walk,191,135,194,164,191,142,194,155
68,20200514,clip_12_1840,61,74,75,bicycle,walk,182,131,185,156,186,140,190,152
69,20200514,clip_12_1840,62,74,75,bicycle,walk,173,128,176,148,182,137,185,150
70,20200514,clip_12_1840,63,74,75,bicycle,walk,169,125,176,149,177,135,180,148
71,20200514,clip_12_1840,64,74,75,bicycle,walk,166,123,175,146,172,133,175,146
72,20200514,clip_12_1840,65,74,75,bicycle,walk,162,123,172,146,169,132,173,146
73,20200514,clip_12_1840,66,74,75,bicycle,walk,159,121,169,143,165,130,170,145
74,20200514,clip_12_1840,67,74,75,bicycle,walk,156,119,166,140,162,128,167,143
75,20200514,clip_12_1840,68,74,75,bicycle,walk,153,118,164,139,158,127,164,142
76,20200514,clip_12_1840,69,74,75,bicycle,walk,151,117,161,138,156,126,161,140
77,20200514,clip_12_1840,70,74,75,bicycle,walk,148,116,159,136,154,124,159,137
78,20200514,clip_12_1840,71,74,75,bicycle,walk,146,115,156,135,152,123,157,137
79,20200514,clip_12_1840,72,74,75,bicycle,walk,143,115,153,133,149,119,154,132
80,20200514,clip_12_1840,73,74,75,bicycle,walk,140,114,150,132,146,119,151,132
81,20200514,clip_12_1840,74,74,75,bicycle,walk,138,113,148,131,144,119,148,131
82,20200514,clip_12_1840,75,74,75,bicycle,walk,135,112,145,129,141,118,146,130
83,20200514,clip_12_1840,76,74,75,bicycle,walk,133,110,143,128,139,118,144,129
84,20200514,clip_12_1840,77,74,75,bicycle,walk,132,109,142,127,137,117,141,128
85,20200514,clip_12_1840,78,74,75,bicycle,walk,132,109,141,126,137,116,141,126
86,20200514,clip_12_1840,79,74,75,bicycle,walk,132,108,141,125,136,115,140,125
87,20200514,clip_12_1840,80,74,75,bicycle,walk,130,107,139,124,135,114,139,125
88,20200514,clip_12_1840,81,74,75,bicycle,walk,129,106,137,123,133,113,137,124
89,20200514,clip_12_1840,82,74,75,bicycle,walk,128,105,135,122,132,112,136,123
90,20200514,clip_12_1840,83,74,75,bicycle,walk,126,105,133,121,130,111,134,121
91,20200514,clip_12_1840,84,74,75,bicycle,walk,124,104,131,120,129,111,133,120
92,20200514,clip_12_1840,85,74,75,bicycle,walk,122,104,129,119,127,110,131,119
93,20200514,clip_12_1840,86,74,75,bicycle,walk,120,103,126,118,126,109,130,118
94,20200514,clip_12_1840,87,74,75,bicycle,walk,118,102,124,117,124,109,128,118
95,20200514,clip_12_1840,88,74,75,bicycle,walk,117,102,122,116,121,108,125,117
96,20200514,clip_12_1840,89,74,75,bicycle,walk,115,107,118,115,119,108,123,117
97,20200514,clip_12_1840,90,74,75,bicycle,walk,113,111,116,114,119,108,123,117
98,20200514,clip_14_1936,8,94,95,motorcycle,ride,320,165,338,210,316,189,340,211
99,20200514,clip_14_1936,9,94,95,motorcycle,ride,265,143,283,188,266,171,286,189
100,20200514,clip_14_1936,10,94,95,motorcycle,ride,232,131,250,161,231,153,251,171
101,20200514,clip_14_1936,11,94,95,motorcycle,ride,208,124,221,153,209,138,221,154
102,20200514,clip_14_1936,12,94,95,motorcycle,ride,193,119,206,140,194,129,207,139
103,20200514,clip_14_1936,13,94,95,motorcycle,ride,180,113,191,132,180,123,192,132
104,20200514,clip_14_1936,14,94,95,motorcycle,ride,166,108,176,124,166,117,177,126
105,20200514,clip_14_1936,15,94,95,motorcycle,ride,154,104,164,120,154,111,165,120
106,20200514,clip_14_1936,16,94,95,motorcycle,ride,139,99,149,115,141,109,151,118
107,20200514,clip_14_1936,17,94,95,motorcycle,ride,124,97,132,114,125,106,134,115
108,20200514,clip_14_1936,18,94,95,motorcycle,ride,108,96,115,112,109,104,116,113
109,20200514,clip_14_1936,19,94,95,motorcycle,ride,106,96,113,112,107,104,114,113
110,20200514,clip_14_1936,20,94,95,motorcycle,ride,101,94,107,109,106,103,113,111
111,20200514,clip_17_2100,0,119,122,bicycle,ride,286,179,307,216,284,204,307,233
112,20200514,clip_17_2100,1,119,122,bicycle,ride,335,201,361,244,337,231,359,268
129,20200514,clip_19_2156,24,140,145,bicycle,ride,192,148,204,187,191,170,206,187
130,20200514,clip_19_2156,25,140,145,bicycle,ride,208,157,222,197,203,183,225,200
131,20200514,clip_19_2156,26,140,145,bicycle,ride,228,169,247,216,227,195,248,217
132,20200514,clip_19_2156,27,140,145,bicycle,ride,257,185,276,236,253,214,276,241
133,20200514,clip_19_2156,28,140,145,bicycle,ride,299,204,319,256,295,241,321,275
134,20200514,clip_19_2156,18,141,142,bicycle,ride,341,165,357,211,334,190,359,218
135,20200514,clip_19_2156,19,141,142,bicycle,ride,311,152,326,197,305,178,328,200
136,20200514,clip_19_2156,20,141,142,bicycle,ride,286,143,301,179,281,165,304,182
137,20200514,clip_19_2156,21,141,142,bicycle,ride,267,132,280,167,263,153,283,168
138,20200514,clip_19_2156,22,141,142,bicycle,ride,249,126,262,156,243,144,264,160
139,20200514,clip_19_2156,23,141,142,bicycle,ride,231,120,244,142,226,136,246,148
140,20200514,clip_19_2156,24,141,142,bicycle,ride,211,115,224,138,205,131,225,143
141,20200514,clip_19_2156,25,141,142,bicycle,ride,196,112,207,134,191,126,209,137
142,20200514,clip_3_1455,0,191,202,bicycle,ride,227,117,237,143,229,132,237,144
143,20200514,clip_3_1455,1,191,202,bicycle,ride,228,119,238,144,229,134,237,146
144,20200514,clip_3_1455,2,191,202,bicycle,ride,228,121,239,145,229,136,237,148
145,20200514,clip_3_1455,3,191,202,bicycle,ride,233,123,243,151,235,135,243,151
146,20200514,clip_3_1455,4,191,202,bicycle,ride,239,126,249,152,242,139,250,153
147,20200514,clip_3_1455,5,191,202,bicycle,ride,243,128,256,151,246,143,254,157
148,20200514,clip_3_1455,6,191,202,bicycle,ride,242,130,256,153,243,147,252,161
149,20200514,clip_3_1455,7,191,202,bicycle,ride,238,133,248,159,240,148,251,165
150,20200514,clip_3_1455,8,191,202,bicycle,ride,235,135,246,160,237,152,246,168
151,20200514,clip_3_1455,9,191,202,bicycle,ride,235,138,247,160,237,156,246,174
152,20200514,clip_3_1455,10,191,202,bicycle,ride,239,141,253,173,243,157,251,178
153,20200514,clip_3_1455,11,191,202,bicycle,ride,250,145,265,177,254,159,264,181
154,20200514,clip_3_1455,12,191,202,bicycle,ride,260,148,275,174,264,164,274,186
155,20200514,clip_3_1455,13,191,202,bicycle,ride,270,152,285,180,274,169,284,192
156,20200514,clip_3_1455,14,191,202,bicycle,ride,274,156,290,184,278,175,288,199
157,20200514,clip_3_1455,15,191,202,bicycle,ride,281,162,298,189,286,182,296,206
158,20200514,clip_3_1455,16,191,202,bicycle,ride,289,167,308,198,294,188,304,214
159,20200514,clip_3_1455,17,191,202,bicycle,ride,296,172,314,204,303,193,313,222
160,20200514,clip_3_1455,18,191,202,bicycle,ride,296,178,316,213,298,200,311,231
161,20200514,clip_3_1455,19,191,202,bicycle,ride,293,185,313,220,295,210,308,241
162,20200514,clip_3_1455,20,191,202,bicycle,ride,299,193,322,231,304,220,320,252
163,20200514,clip_3_1455,21,191,202,bicycle,ride,317,200,340,246,319,226,346,263
164,20200514,clip_3_1455,22,191,202,bicycle,ride,332,209,356,255,340,235,356,276
165,20200514,clip_3_1455,23,191,202,bicycle,ride,341,219,368,268,346,249,362,288
166,20200514,clip_3_1455,24,191,202,bicycle,ride,364,230,384,280,362,262,384,288
167,20200514,clip_3_1455,25,191,202,bicycle,ride,364,230,384,280,362,262,384,288
173,20200514,clip_3_1455,5,193,192,bicycle,hold,139,151,148,179,143,164,150,177
174,20200514,clip_3_1455,6,193,192,bicycle,hold,140,151,148,178,142,164,149,176
175,20200514,clip_3_1455,7,193,192,bicycle,hold,138,149,148,170,142,163,148,176
176,20200514,clip_3_1455,8,193,192,bicycle,hold,139,149,148,170,142,163,148,176
177,20200514,clip_3_1455,9,193,192,bicycle,hold,139,149,148,170,142,163,149,176
178,20200514,clip_3_1455,10,193,192,bicycle,hold,139,150,148,170,143,163,149,176
179,20200514,clip_3_1455,11,193,192,bicycle,hold,138,150,148,171,143,162,150,176
180,20200514,clip_3_1455,12,193,192,bicycle,hold,138,150,148,171,143,162,151,176
181,20200514,clip_3_1455,13,193,192,bicycle,hold,137,150,148,171,143,162,151,176
182,20200514,clip_3_1455,14,193,192,bicycle,hold,141,150,153,175,144,162,152,176
183,20200514,clip_3_1455,15,193,192,bicycle,hold,140,150,152,172,144,163,149,177
184,20200514,clip_3_1455,16,193,192,bicycle,hold,142,150,150,174,143,162,149,177
185,20200514,clip_3_1455,17,193,192,bicycle,hold,140,150,149,175,142,162,149,176
186,20200514,clip_3_1455,18,193,192,bicycle,hold,140,150,149,175,142,162,149,176
187,20200514,clip_3_1455,19,193,192,bicycle,hold,140,150,149,175,143,162,149,176
188,20200514,clip_3_1455,20,193,192,bicycle,hold,140,150,149,175,143,161,150,177
189,20200514,clip_3_1455,21,193,192,bicycle,hold,140,150,149,175,143,161,150,177
190,20200514,clip_3_1455,22,193,192,bicycle,hold,141,150,149,175,144,161,151,177
191,20200514,clip_3_1455,23,193,192,bicycle,hold,138,151,146,176,144,161,151,177
192,20200514,clip_3_1455,24,193,192,bicycle,hold,138,151,147,176,145,161,152,177
193,20200514,clip_3_1455,25,193,192,bicycle,hold,138,151,145,175,145,161,153,177
194,20200514,clip_3_1455,26,193,192,bicycle,hold,139,152,148,175,146,161,154,177
195,20200514,clip_3_1455,27,193,192,bicycle,hold,140,153,149,178,147,161,156,177
196,20200514,clip_3_1455,28,193,192,bicycle,hold,140,153,152,178,146,161,156,177
197,20200514,clip_3_1455,29,193,192,bicycle,hold,139,153,152,178,146,161,157,177
198,20200514,clip_3_1455,30,193,192,bicycle,hold,140,152,153,177,146,161,156,177
199,20200514,clip_3_1455,31,193,192,bicycle,hold,143,152,153,173,146,161,156,177
200,20200514,clip_3_1455,32,193,192,bicycle,hold,144,155,153,173,146,161,156,176
201,20200514,clip_3_1455,33,193,192,bicycle,walk,154,159,164,180,160,164,168,179
202,20200514,clip_3_1455,34,193,192,bicycle,walk,158,158,173,183,165,164,175,182
203,20200514,clip_3_1455,35,193,192,bicycle,walk,162,160,176,187,169,166,177,183
204,20200514,clip_3_1455,36,193,192,bicycle,walk,170,162,178,187,181,171,189,188
205,20200514,clip_3_1455,37,193,192,bicycle,walk,181,117,189,142,188,175,196,194
206,20200514,clip_3_1455,38,193,192,bicycle,walk,192,175,198,195,195,179,202,199
207,20200514,clip_3_1455,39,193,192,bicycle,walk,193,173,209,202,202,183,209,204
208,20200514,clip_3_1455,40,193,192,bicycle,walk,197,178,216,210,208,188,217,210
209,20200514,clip_3_1455,41,193,192,bicycle,walk,206,182,225,217,216,193,225,215
210,20200514,clip_3_1455,42,193,192,bicycle,walk,213,185,231,223,223,197,232,222
211,20200514,clip_3_1455,43,193,192,bicycle,walk,216,190,237,229,227,203,238,229
212,20200514,clip_3_1455,44,193,192,bicycle,walk,221,196,243,235,236,209,244,235
213,20200514,clip_3_1455,45,193,192,bicycle,walk,229,202,251,243,244,215,252,243
214,20200514,clip_3_1455,46,193,192,bicycle,walk,239,207,264,250,256,222,264,251
215,20200514,clip_3_1455,47,193,192,bicycle,walk,247,216,273,260,264,231,272,260
216,20200514,clip_3_1455,48,193,192,bicycle,walk,260,225,286,271,277,239,289,271
217,20200514,clip_3_1455,49,193,192,bicycle,walk,277,231,302,281,291,247,304,284
218,20200514,clip_3_1455,50,193,192,bicycle,walk,288,242,314,288,300,257,315,288
219,20200514,clip_3_1455,51,193,192,bicycle,walk,299,251,329,288,313,271,327,288
220,20200514,clip_3_1455,52,193,192,bicycle,walk,315,263,349,288,360,249,375,266
221,20200514,clip_3_1455,13,197,205,bicycle,ride,107,96,112,102,109,102,112,109
222,20200514,clip_3_1455,14,197,205,bicycle,ride,114,97,118,104,115,105,118,111
223,20200514,clip_3_1455,15,197,205,bicycle,ride,116,101,123,110,119,108,122,115
224,20200514,clip_3_1455,16,197,205,bicycle,ride,120,103,127,115,123,110,126,117
225,20200514,clip_3_1455,17,197,205,bicycle,ride,126,105,132,117,128,112,131,119
226,20200514,clip_3_1455,18,197,205,bicycle,ride,130,106,136,118,132,115,135,121
227,20200514,clip_3_1455,19,197,205,bicycle,ride,133,107,140,120,136,118,140,125
228,20200514,clip_3_1455,20,197,205,bicycle,ride,139,110,147,126,142,121,146,128
229,20200514,clip_3_1455,21,197,205,bicycle,ride,145,112,154,129,148,123,152,133
230,20200514,clip_3_1455,22,197,205,bicycle,ride,151,115,160,132,153,127,158,137
231,20200514,clip_3_1455,23,197,205,bicycle,ride,159,119,168,136,161,132,166,142
232,20200514,clip_3_1455,24,197,205,bicycle,ride,167,121,175,138,171,136,175,146
233,20200514,clip_3_1455,25,197,205,bicycle,ride,181,126,190,144,184,142,188,152
234,20200514,clip_3_1455,26,197,205,bicycle,ride,194,132,205,149,197,148,201,157
235,20200514,clip_3_1455,27,197,205,bicycle,ride,206,138,219,157,210,152,216,171
236,20200514,clip_3_1455,28,197,205,bicycle,ride,218,147,230,172,222,160,231,181
237,20200514,clip_3_1455,29,197,205,bicycle,ride,235,154,251,189,239,173,248,195
238,20200514,clip_3_1455,30,197,205,bicycle,ride,259,166,274,195,261,183,273,210
239,20200514,clip_3_1455,31,197,205,bicycle,ride,280,179,297,218,284,199,296,230
240,20200514,clip_3_1455,32,197,205,bicycle,ride,313,197,336,240,317,220,334,254
241,20200514,clip_3_1455,33,197,205,bicycle,ride,360,217,384,260,363,245,384,288
242,20200514,clip_3_1455,34,197,205,bicycle,ride,360,217,384,260,363,245,384,288
243,20200514,clip_3_1455,32,201,207,bicycle,ride,108,99,111,104,108,103,111,107
244,20200514,clip_3_1455,33,201,207,bicycle,ride,108,96,111,101,108,103,112,108
245,20200514,clip_3_1455,34,201,207,bicycle,ride,109,96,112,101,108,103,112,110
246,20200514,clip_3_1455,35,201,207,bicycle,ride,111,99,113,109,114,102,123,112
247,20200514,clip_3_1455,36,201,207,bicycle,ride,127,96,128,106,128,102,138,111
248,20200514,clip_3_1455,37,201,207,bicycle,ride,138,99,142,109,139,103,148,113
249,20200514,clip_3_1455,38,201,207,bicycle,ride,144,100,148,110,145,104,154,114
250,20200514,clip_3_1455,39,201,207,bicycle,ride,150,102,153,112,150,108,159,118
251,20200514,clip_3_1455,40,201,207,bicycle,ride,153,102,157,112,154,109,163,119
252,20200514,clip_3_1455,41,201,207,bicycle,ride,157,105,164,114,159,111,167,120
253,20200514,clip_3_1455,42,201,207,bicycle,ride,161,105,168,115,163,110,171,124
254,20200514,clip_3_1455,43,201,207,bicycle,ride,166,107,173,117,166,112,175,124
255,20200514,clip_3_1455,44,201,207,bicycle,ride,170,110,175,119,170,114,176,127
256,20200514,clip_3_1455,45,201,207,bicycle,ride,176,112,181,122,175,116,182,130
257,20200514,clip_3_1455,46,201,207,bicycle,ride,181,114,187,125,180,118,188,134
258,20200514,clip_3_1455,47,201,207,bicycle,ride,186,116,193,128,186,119,194,138
259,20200514,clip_3_1455,48,201,207,bicycle,ride,192,118,198,131,191,121,200,141
260,20200514,clip_3_1455,49,201,207,bicycle,ride,197,120,204,134,199,127,211,145
261,20200514,clip_3_1455,50,201,207,bicycle,ride,207,124,214,138,209,130,222,148
262,20200514,clip_3_1455,51,201,207,bicycle,ride,217,126,225,140,218,136,231,154
263,20200514,clip_3_1455,52,201,207,bicycle,ride,227,129,236,144,228,140,243,160
264,20200514,clip_3_1455,53,201,207,bicycle,ride,238,134,247,167,245,144,260,166
265,20200514,clip_3_1455,54,201,207,bicycle,ride,251,140,261,159,252,150,271,175
266,20200514,clip_3_1455,55,201,207,bicycle,ride,266,145,277,163,268,157,286,183
267,20200514,clip_3_1455,56,201,207,bicycle,ride,280,151,292,171,281,163,302,191
268,20200514,clip_3_1455,57,201,207,bicycle,ride,295,159,308,180,298,170,318,203
269,20200514,clip_3_1455,58,201,207,bicycle,ride,314,167,331,191,318,181,343,215
270,20200514,clip_3_1455,59,201,207,bicycle,ride,340,176,356,198,342,193,372,228
271,20200514,clip_3_1455,60,201,207,bicycle,ride,374,189,384,231,375,207,384,243
272,20200514,clip_3_1455,61,201,207,bicycle,ride,374,189,384,231,375,207,384,243
273,20200514,clip_3_1455,12,203,204,bicycle,ride,107,90,111,98,107,98,110,103
274,20200514,clip_3_1455,13,203,204,bicycle,ride,113,95,118,103,114,102,116,108
275,20200514,clip_3_1455,14,203,204,bicycle,ride,127,97,132,104,126,103,133,109
276,20200514,clip_3_1455,15,203,204,bicycle,ride,137,96,143,106,138,107,142,112
277,20200514,clip_3_1455,16,203,204,bicycle,ride,143,100,149,110,145,109,149,115
278,20200514,clip_3_1455,17,203,204,bicycle,ride,150,104,156,114,151,112,155,119
279,20200514,clip_3_1455,18,203,204,bicycle,ride,157,106,163,119,159,115,164,123
280,20200514,clip_3_1455,19,203,204,bicycle,ride,163,107,173,125,166,119,171,127
281,20200514,clip_3_1455,20,203,204,bicycle,ride,171,111,175,126,113,120,118,129
282,20200514,clip_3_1455,21,203,204,bicycle,ride,178,80,181,95,181,117,185,125
283,20200514,clip_3_1455,22,203,204,bicycle,ride,190,115,199,139,194,134,199,145
284,20200514,clip_3_1455,23,203,204,bicycle,ride,200,124,212,145,205,141,210,152
285,20200514,clip_3_1455,24,203,204,bicycle,ride,211,131,224,151,214,146,221,165
286,20200514,clip_3_1455,25,203,204,bicycle,ride,229,139,245,167,235,157,243,177
287,20200514,clip_3_1455,26,203,204,bicycle,ride,255,150,272,178,258,171,270,192
288,20200514,clip_3_1455,27,203,204,bicycle,ride,287,163,307,190,290,180,306,212
289,20200514,clip_3_1455,28,203,204,bicycle,ride,331,180,353,210,334,199,355,237
290,20200514,clip_3_1455,29,203,204,bicycle,ride,331,180,353,210,334,199,355,237
361,20200514,clip_4_1523,37,220,227,bicycle,ride,116,100,122,115,118,107,121,114
362,20200514,clip_4_1523,38,220,227,bicycle,ride,118,101,124,116,122,110,125,116
363,20200514,clip_4_1523,39,220,227,bicycle,ride,124,103,130,116,126,112,129,119
364,20200514,clip_4_1523,40,220,227,bicycle,ride,128,105,135,119,131,114,135,122
365,20200514,clip_4_1523,41,220,227,bicycle,ride,132,106,139,123,136,115,141,125
366,20200514,clip_4_1523,42,220,227,bicycle,ride,140,108,147,124,141,117,146,128
367,20200514,clip_4_1523,43,220,227,bicycle,ride,145,111,153,128,146,119,152,131
